"Movie","Characters","Words"
"Chocolat",8,1
"Crouching Tiger, Hidden Dragon",30,4
"Erin Brockovich",15,2
"Gladiator",9,1
"Traffic",7,1
"A Beautiful Mind",16,3
"Gosford Park",12,2
"In the Bedroom",14,3
"Moulin Rouge!",13,2
"The Lord of the Rings: The Fellowship of the Ring",49,10
"Chicago",7,1
"Gangs of New York",17,4
"The Hours",9,2
"The Lord of the Rings: The Two Towers",37,8
"The Pianist",11,2
"Lost in Translation",19,3
"Master and Commander: The Far Side of the World",47,9
"Mystic River",12,2
"Seabiscuit",10,1
"The Lord of the Rings: The Return of the King",45,10
"Finding Neverland",17,2
"Million Dollar Baby",19,3
"Ray",3,1
"Sideways",8,1
"The Aviator",11,2
"Brokeback Mountain",18,2
"Capote",6,1
"Crash",5,1
"Good Night, and Good Luck",25,5
"Munich",6,1
"Babel",5,1
"Letters from Iwo Jima",21,4
"Little Miss Sunshine",20,3
"The Departed",12,2
"The Queen",9,2
"Atonement",9,1
"Juno",4,1
"Michael Clayton",15,2
"No Country for Old Men",22,5
"There Will Be Blood",19,4
"Frost/Nixon",11,2
"Milk",4,1
"Slumdog Millionaire",19,2
"The Curious Case of Benjamin Button",35,6
"The Reader",10,2
"A Serious Man",13,3
"An Education",12,2
"Avatar",6,1
"District 9",10,2
"Inglourious Basterds",20,2
"Precious: Based on the Novel 'Push' by Sapphire",47,8
"The Blind Side",14,3
"The Hurt Locker",15,3
"Up",2,1
"Up in the Air",13,4
"127 Hours",9,2
"Black Swan",10,2
"Inception",9,1
"The Fighter",11,2
"The Kids Are All Right",22,5
"The King's Speech",17,4
"The Social Network",18,3
"Toy Story 3",11,3
"True Grit",9,2
"Winter's Bone",13,3
"Extremely Loud & Incredibly Close",33,4
"Hugo",4,1
"Midnight in Paris",17,3
"Moneyball",9,1
"The Artist",10,2
"The Descendants",15,2
"The Help",8,2
"The Tree of Life",16,4
"War Horse",9,2
"Amour",5,1
"Argo",4,1
"Beasts of the Southern Wild",27,5
"Django Unchained",16,2
"Les Misérables",14,2
"Life of Pi",10,3
"Lincoln",7,1
"Silver Linings Playbook",23,3
"Zero Dark Thirty",16,3
"12 Years a Slave",16,4
"American Hustle",15,2
"Captain Phillips",16,2
"Dallas Buyers Club",18,3
"Gravity",7,1
"Her",3,1
"Nebraska",8,1
"Philomena",9,1
"The Wolf of Wall Street",23,5
"American Sniper",15,2
"Birdman or (The Unexpected Virtue of Ignorance)",47,7
"Boyhood",7,1
"Selma",5,1
"The Grand Budapest Hotel",24,4
"The Imitation Game",18,3
"The Theory of Everything",24,4
"Whiplash",8,1
"Bridge of Spies",15,3
"Brooklyn",8,1
"Mad Max: Fury Road",18,4
"Room",4,1
"Spotlight",9,1
"The Big Short",13,3
"The Martian",11,2
"The Revenant",12,2
"Arrival",7,1
"Fences",6,1
"Hacksaw Ridge",13,2
"Hell or High Water",18,4
"Hidden Figures",14,2
"La La Land",10,3
"Lion",4,1
"Manchester by the Sea",21,4
"Moonlight",9,1
"Call Me by Your Name",20,5
"Darkest Hour",12,2
"Dunkirk",7,1
"Get Out",7,2
"Lady Bird",9,2
"Phantom Thread",14,2
"The Post",8,2
"The Shape of Water",18,4
"Three Billboards outside Ebbing, Missouri",41,5
"A Star Is Born",14,4
"Black Panther",13,2
"BlacKkKlansman",14,1
"Bohemian Rhapsody",17,2
"Green Book",10,2
"Roma",4,1
"The Favourite",13,2
"Vice",4,1
"1917",4,1
"Ford v Ferrari",14,3
"Jojo Rabbit",11,2
"Joker",5,1
"Little Women",12,2
"Marriage Story",14,2
"Once upon a Time...in Hollywood",31,6
"Parasite",8,1
"The Irishman",12,2
"Judas and the Black Messiah",27,5
"Mank",4,1
"Minari",6,1
"Nomadland",9,1
"Promising Young Woman",21,3
"Sound of Metal",14,3
"The Father",10,2
"The Trial of the Chicago 7",26,6
"Belfast",7,1
"CODA",4,1
"Don't Look Up",13,4
"Drive My Car",12,3
"Dune",4,1
"King Richard",12,2
"Licorice Pizza",14,2
"Nightmare Alley",15,2
"The Power of the Dog",20,5
"West Side Story",15,3
"All Quiet on the Western Front",30,6
"Avatar: The Way of Water",24,5
"Elvis",5,1
"Everything Everywhere All at Once",33,5
"Tár",3,1
"The Banshees of Inisherin",25,4
"The Fabelmans",13,2
"Top Gun: Maverick",17,3
"Triangle of Sadness",19,3
"Women Talking",13,2
"American Fiction",16,2
"Anatomy of a Fall",17,4
"Barbie",6,1
"Killers of the Flower Moon",26,5
"Maestro",7,1
"Oppenheimer",11,1
"Past Lives",10,2
"Poor Things",11,2
"The Holdovers",13,2
"The Zone of Interest",20,4
"A Complete Unknown",18,3
"Anora",5,1
"Conclave",8,1
"Dune: Part Two",14,3
"Emilia Pérez",12,2
"I'm Still Here",14,4
"Nickel Boys",11,2
"The Brutalist",13,2
"The Substance",13,2
"Wicked",6,1
"Bugonia",7,1
"F1",2,1
"Frankenstein",12,1
"Hamnet",6,1
"Marty Supreme",13,2
"One Battle After Another",24,4
"Sentimental Value",17,2
"Sinners",7,1
"The Secret Agent",16,3
"Train Dreams",12,2
